id,term,translation,description,difficulty,category,image_url,audio_url,created_at,description_translation
004503e9-4575-4168-ac3d-2e94b230e6cf,Antena,Антенна,	Dispositivo para recibir señales de radio.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,https://aldamovil.com/3098-thickbox_default/Antena-coche-corta-Exterior-Aluminio-Plata.jpg,,2025-03-10 19:11:58.19916+00,Устройство для приема радиосигналов.
005a3970-e39e-4684-add1-cc483b8f4521," Cambiar de marcha",Переключить передачу	,	Cambiar la velocidad del coche usando la palanca de cambios.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:53:55.05336+00,Изменить скорость автомобиля с помощью рычага переключения передач.
013d08e1-7120-471f-9f86-ab4971eab36a,Cruce,Перекресток,	Intersección de dos o más vías.	,medium,82905485-3ee7-4509-aab2-51d68194b71b,,,2025-03-09 22:14:25.875099+00,Место пересечения двух или более дорог.
026a2378-dd10-42fb-bb3b-527fe092462a," Hacer un giro en U	",Разворачиваться,Dar la vuelta en forma de U para cambiar de dirección.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:17:17.750879+00,Разворачиваться на 180 градусов.
04449bfa-2645-4d39-a7c4-d0fc6c479d2e," Pagar el parking	",Оплатить парковку	,Realizar el pago por el estacionamiento.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:26:30.058196+00,Оплатить парковку.
07a81144-45ba-42fb-891b-3facb5ad7471," Estacionar en diagonal",	Парковаться по диагонали	,Aparcar el coche en ángulo respecto a la acera.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:47:26.380817+00,Парковать автомобиль под углом к тротуару.
09a828e7-0627-4e4f-aeb1-ab1021da3842," Alarma",Сигнализация,	Sistema de seguridad contra robos.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:53:07.697043+00,Система безопасности от угона.
0a503a0a-73f0-46bc-a072-8f44334a8175,ITV (Inspección Técnica de Vehículos)	,Технический осмотр транспортных средств,"	Revisión obligatoria para verificar el estado del vehículo.	
",medium,483d5013-722c-425b-9127-f3ded2b5f373,,,2025-03-09 22:17:34.918716+00,Обязательная проверка состояния транспортного средства.
0a9c1316-cf37-4210-b802-02acfb128b07,Líquido de dirección	,Жидкость гидроусилителя руля,	Líquido que facilita el giro del volante.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:47:12.44741+00,"Жидкость, облегчающая поворот руля."
0d4b5a2f-5a75-42b2-afad-1545c4c67dcb,Circular por una glorieta,	Двигаться по круговой развязке	,Conducir dentro de una rotonda.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:44:40.54259+00,Ехать внутри кругового перекрестка.
